Teritoriālā vienība,Region,County,1967 Iedzīvotāju skaits gada sākumā,1968 Iedzīvotāju skaits gada sākumā,1969 Iedzīvotāju skaits gada sākumā,1970 Iedzīvotāju skaits gada sākumā,1971 Iedzīvotāju skaits gada sākumā,1972 Iedzīvotāju skaits gada sākumā,1973 Iedzīvotāju skaits gada sākumā,1974 Iedzīvotāju skaits gada sākumā,1975 Iedzīvotāju skaits gada sākumā,1976 Iedzīvotāju skaits gada sākumā,1977 Iedzīvotāju skaits gada sākumā,1978 Iedzīvotāju skaits gada sākumā,1979 Iedzīvotāju skaits gada sākumā,1980 Iedzīvotāju skaits gada sākumā,1981 Iedzīvotāju skaits gada sākumā,1982 Iedzīvotāju skaits gada sākumā,1983 Iedzīvotāju skaits gada sākumā,1984 Iedzīvotāju skaits gada sākumā,1985 Iedzīvotāju skaits gada sākumā,1986 Iedzīvotāju skaits gada sākumā,1987 Iedzīvotāju skaits gada sākumā,1988 Iedzīvotāju skaits gada sākumā,1989 Iedzīvotāju skaits gada sākumā,1990 Iedzīvotāju skaits gada sākumā,1991 Iedzīvotāju skaits gada sākumā,1992 Iedzīvotāju skaits gada sākumā,1993 Iedzīvotāju skaits gada sākumā,1994 Iedzīvotāju skaits gada sākumā,1995 Iedzīvotāju skaits gada sākumā,1996 Iedzīvotāju skaits gada sākumā,1997 Iedzīvotāju skaits gada sākumā,1998 Iedzīvotāju skaits gada sākumā,1999 Iedzīvotāju skaits gada sākumā,2000 Iedzīvotāju skaits gada sākumā,2001 Iedzīvotāju skaits gada sākumā,2002 Iedzīvotāju skaits gada sākumā,2003 Iedzīvotāju skaits gada sākumā,2004 Iedzīvotāju skaits gada sākumā,2005 Iedzīvotāju skaits gada sākumā,2006 Iedzīvotāju skaits gada sākumā,2007 Iedzīvotāju skaits gada sākumā,2008 Iedzīvotāju skaits gada sākumā,2009 Iedzīvotāju skaits gada sākumā,2010 Iedzīvotāju skaits gada sākumā,2011 Iedzīvotāju skaits gada sākumā,2012 Iedzīvotāju skaits gada sākumā,2013 Iedzīvotāju skaits gada sākumā,2014 Iedzīvotāju skaits gada sākumā,2015 Iedzīvotāju skaits gada sākumā,2016 Iedzīvotāju skaits gada sākumā,2017 Iedzīvotāju skaits gada sākumā,2018 Iedzīvotāju skaits gada sākumā,2019 Iedzīvotāju skaits gada sākumā,2020 Iedzīvotāju skaits gada sākumā
Rīga,Rīgas reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,835985,842327,849531,858016,865966,873532,880121,889730,902043,910455,909135,900455,889741,863657,843552,824988,810172,797947,786612,776008,766381,753006,738596,729218,721640,712262,706617,702561,697272,687443,673433,659418,649853,643615,643368,641007,639630,641423,637971,632614,627487
Daugavpils,Latgales reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,116500,117475,118357,119066,119955,120414,121575,122462,123665,124910,126575,127482,127619,125392,122629,120897,119349,118385,117480,116460,115574,114607,113101,111837,109718,107269,105352,103307,101705,98662,95962,93588,90879,89184,87403,86435,85858,84592,83250,82604,82046
Jelgava,Zemgales reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,68145,68467,69109,69574,69886,69946,70365,71630,72812,74105,73455,72202,71399,68715,67026,66231,65511,65113,64716,64188,63743,64084,64165,63985,63958,63684,63357,63219,62822,62404,60923,59640,58332,57773,57332,57180,57053,56743,56383,55972,56062
Jēkabpils,Zemgales reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,26478,26751,26875,27267,27819,28206,28967,29588,30136,30865,30726,31252,31182,30085,29015,28693,28600,28329,28273,28104,27911,27826,27519,27276,26932,26703,26501,26358,26132,25743,25233,24672,24182,23834,23269,23019,22750,22412,22188,22076,21928
Jūrmala,Pierīgas reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,54056,54512,54979,55330,55952,56398,57362,58656,59894,60600,60620,60416,59977,58767,57941,57285,56765,56469,56183,55794,55673,55239,54454,53903,53884,53446,53085,52809,52800,52522,51749,50952,50196,50481,49750,49646,49182,48606,49073,49325,49687
Liepāja,Kurzemes reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,108262,108514,108666,108991,109747,110606,111247,112064,113321,114486,114337,113826,112154,105558,101352,96294,94165,92687,91444,90416,89641,87859,86372,85544,84569,83762,83041,82421,81748,80678,78913,76910,74812,73469,71926,71125,70630,69443,69180,68945,68535
Rēzekne,Latgales reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,36577,37005,37605,38427,39282,39712,40271,41113,41703,42477,42832,43032,42894,42339,42017,41711,41289,40975,40522,39948,39430,38691,38109,37752,37161,36458,35975,35570,35126,34444,33456,32422,31378,30756,29948,29317,28692,28174,28156,27820,27613
Valmiera,Vidzemes reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,25479,25900,26221,26506,26889,27488,27942,28260,28549,29190,29476,29601,29633,29379,29114,29069,29050,28943,28982,28761,27799,27506,27377,27331,27318,27092,26921,26717,26564,26397,25888,25226,24656,24228,23657,23432,23248,22961,23063,23125,23050
Ventspils,Kurzemes reģions,,...,...,...,...,...,...,...,...,...,...,...,...,...,48243,48607,48872,49399,49598,49768,49962,50143,50512,50646,50235,49968,49556,47492,45822,45147,44703,44426,44352,44134,43951,43595,43449,43255,43040,42562,42265,41826,41319,40676,39881,38824,38000,37336,36677,36274,35903,35362,34855,34377,33906
Aizkraukle,,Aizkraukles novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10100,10110,10364,10531,10263,10079,9973,9931,9912,9874,9637,9123,8940,8808,8739,8661,8596,8467,8421,8414,8274,8109,7856,7640,7487,7426,7315,7241,7132,7098,7010,7018
Aizpute,,Aizputes novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6199,6197,6153,6124,6046,5980,5932,5890,5848,5804,5711,5823,5738,5628,5520,5416,5319,5228,5127,5053,4932,4773,4561,4520,4492,4458,4389,4287,4237,4155,4073,4038
