Aglonas novads;6
Aizkraukles novads;5
Aizputes novads;4
Aknīstes novads;5
Alojas novads;2
Alsungas novads;4
Alūksnes novads;3
Amatas novads;3
Apes novads;3
Auces novads;5
Ādažu novads;2
Babītes novads;2
Baldones novads;2
Baltinavas novads;6
Balvu novads;6
Bauskas novads;5
Beverīnas novads;3
Brocēnu novads;4
Burtnieku novads;3
Carnikavas novads;2
Cesvaines novads;3
Cēsu novads;3
Ciblas novads;6
Dagdas novads;6
Daugavpils novads;6
Dobeles novads;5
Dundagas novads;4
Durbes novads;4
Engures novads;2
Ērgļu novads;3
Garkalnes novads;2
Grobiņas novads;4
Gulbenes novads;3
Iecavas novads;5
Ikšķiles novads;2
Ilūkstes novads;6
Inčukalna novads;2
Jaunjelgavas novads;5
Jaunpiebalgas novads;3
Jaunpils novads;2
Jelgavas novads;5
Jēkabpils novads;5
Kandavas novads;2
Kārsavas novads;6
Kocēnu novads;3
Kokneses novads;5
Krāslavas novads;6
Krimuldas novads;2
Krustpils novads;5
Kuldīgas novads;4
Ķeguma novads;2
Ķekavas novads;2
Lielvārdes novads;2
Limbažu novads;2
Līgatnes novads;3
Līvānu novads;6
Lubānas novads;3
Ludzas novads;6
Madonas novads;3
Mazsalacas novads;3
Mālpils novads;2
Mārupes novads;2
Mērsraga novads;4
Naukšēnu novads;3
Neretas novads;5
Nīcas novads;4
Ogres novads;2
Olaines novads;2
Ozolnieku novads;5
Pārgaujas novads;3
Pāvilostas novads;4
Pļaviņu novads;5
Preiļu novads;6
Priekules novads;4
Priekuļu novads;3
Raunas novads;3
Rēzeknes novads;6
Riebiņu novads;6
Rojas novads;4
Ropažu novads;2
Rucavas novads;4
Rugāju novads;6
Rundāles novads;5
Rūjienas novads;3
Salacgrīvas novads;2
Salas novads;5
Salaspils novads;2
Saldus novads;4
Saulkrastu novads;2
Sējas novads;2
Siguldas novads;2
Skrīveru novads;5
Skrundas novads;4
Smiltenes novads;3
Stopiņu novads;2
Strenču novads;3
Talsu novads;4
Tērvetes novads;5
Tukuma novads;2
Vaiņodes novads;4
Valkas novads;3
Varakļānu novads;3
Vārkavas novads;6
Vecpiebalgas novads;3
Vecumnieku novads;5
Ventspils novads;4
Viesītes novads;5
Viļakas novads;6
Viļānu novads;6
Zilupes novads;6
